"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-02-05T00:00:00.000Z""","USA","","Airbus Helicopters H125 / AS350","N911VA","Metro Aviation Inc (Louisiana)","","USA","Approach","Accident",3,true,false,false,"Fatal","AS50",true,false,1,"Turboprop","","[]","",2008
"""2008-02-05T00:00:00.000Z""","USA","McGrath","DE HAVILLAND DHC2 I","N323KT","",,"USA","Take-off","Accident",0,true,false,"","None","DH90",false,true,2,"Piston","","[""LOC-G"",""OTHR""]","RS",2008
"""2008-02-07T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-44 Seminole","N554PC","Parks College of St Louis University","","USA","Approach","Accident",0,true,false,false,"None","PA44",false,true,2,"Piston","","[]","RS",2008
"""2008-02-07T00:00:00.000Z""","USA","","MD Helicopters Inc MD500 / Hughes 369","N698DM","Tropical Helicopters","","USA","En route","Accident",0,true,false,false,"None","H500",true,false,1,"Turboprop","","[]","",2008
"""2008-02-07T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N60YX","Universal Aviators Academy Inc","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-02-08T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N2364B","Helicopter Services Inc (Texas)","","USA","Manoeuvring","Accident",0,false,false,false,"None","R22",true,false,1,"Piston","","[]","",2008
"""2008-02-08T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-44 Seminole","N2922X","Gavin Aviation","","USA","Manoeuvring","Accident",0,true,false,false,"None","PA44",false,true,2,"Piston","","[]","RS",2008
"""2008-02-09T00:00:00.000Z""","USA","","MD Helicopters Inc MD500 / Hughes 369","N66372","US Customs and Border Protection","","USA","Manoeuvring","Accident",0,true,false,false,"None","H500",true,false,1,"Turboprop","","[]","",2008
"""2008-02-12T00:00:00.000Z""","USA","Leesburg","RAYTHEON","N16DK","DEKA Research &amp; Development Corp",,"USA","Landing","Accident",0,true,true,false,"None","STAR",false,true,2,"Turboprop","","[""ADRM"",""RE""]","RS",2008
"""2008-02-12T00:00:00.000Z""","USA","Cahokia","CESSNA 425 NO SERIES EXISTS","N67726","",,"USA","Taxi","Accident",0,true,false,false,"None","C425",false,true,2,"Turboprop","","[""LOC-G"",""GCOL""]","RS",2008
"""2008-02-13T00:00:00.000Z""","USA","Sterling","PIPER PA23 250","N62793","",,"USA","En route","Accident",1,true,false,"","Fatal","PA47",false,true,1,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-02-15T00:00:00.000Z""","USA","Covington , Kentucky","EMBRAER EMB145 ER","N569RP","",,"USA","En route","Accident",0,true,true,true,"Serious","E145",,true,2,"Jet",true,"[""OTHR""]","OTH",2008
"""2008-02-16T00:00:00.000Z""","USA","Benton","CESSNA 414","N41LP","Bajaj Holdings LLC",,"USA","Manoeuvring","Accident",2,true,"",false,"Fatal","C414",false,true,2,"Piston","","[""LALT""]","OTH",2008
"""2008-02-17T00:00:00.000Z""","USA","Washington","EMBRAER ERJ170","N828MD","Republic Airlines, opf. US Airways Express","USA","USA","Taxi","Accident",0,true,true,true,"None","E170",,true,2,"Jet",true,"[""GCOL""]","RS",2008
"""2008-02-17T00:00:00.000Z""","USA","Washington","AIRBUS A319","N752US","US Airways","USA","USA","Taxi","Accident",0,true,true,true,"None","A319",,true,2,"Jet",true,"[""GCOL""]","RS",2008
"""2008-02-18T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N1031U","Gentle Breeze LLC","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
