"Date,StateOfOccurrence,Location,Model,Registration,Operator,StateOfOperator,StateOfRegistry,FlightPhase,Class,Fatalities,Over2250,Over5700,ScheduledCommercial,InjuryLevel,TypeDesignator,Helicopter,Airplane,Engines,EngineType,Official,OccCats,Risk,Year,SeriousFatalInjury,Destroyed"
"""2008-03-22T00:00:00.000Z"",USA,""Colfax , Washington"",GRUMMAN G164,N63D,,,USA,Take-off,Accident,0.0,True,False,False,None,G164,False,True,1,Piston,,""[""""LOC-I"""",""""RAMP""""]"",LOC-I,2008,0,1"
"""2008-03-22T00:00:00.000Z"",USA,Genesee,GRUMMAN G164,N8148K,,,USA,Landing,Accident,0.0,True,False,False,Minor,G164,False,True,1,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-03-24T00:00:00.000Z"",USA,""Blythe , California"",AYRES,N5674X,,,USA,Manoeuvring,Accident,0.0,True,False,False,None,SS2P,False,True,1,Piston,,""[""""LALT""""]"",OTH,2008,0,0"
"""2008-03-26T00:00:00.000Z"",USA,Henderson,CESSNA 402,N4010Q,Skyventure LLC,,USA,Take-off,Accident,0.0,True,False,False,None,C402,False,True,2,Piston,,""[""""SCF-NP"""",""""ARC""""]"",RS,2008,0,0"
"""2008-03-26T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N16LL,Private US Operator,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-03-26T00:00:00.000Z"",USA,""Plains , Kansas"",AIR TRACTOR AT301,N4427S,,,USA,Approach,Accident,0.0,True,False,False,None,AT3P,False,True,1,Piston,,""[""""FUEL""""]"",OTH,2008,0,0"
"""2008-03-28T00:00:00.000Z"",USA,""Abbeville , Louisiana"",SCHWEIZER,N36289,,,USA,Approach,Accident,0.0,True,False,False,None,G64T,False,True,1,Turboprop,,""[""""MAC""""]"",OTH,2008,0,0"
"""2008-03-28T00:00:00.000Z"",USA,""Abbeville , Louisiana"",PIPER PA24,N9097P,,,USA,Approach,Accident,0.0,False,False,False,None,PA47,False,True,1,Jet,,""[""""MAC""""]"",OTH,2008,0,0"
"""2008-04-02T00:00:00.000Z"",USA,Benson,BEECH 55,N20480,Private US Operator,,USA,Approach,Accident,2.0,True,False,False,Fatal,BE55,False,True,2,Piston,,""[""""ARC"""",""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-04-02T00:00:00.000Z"",USA,,Bell UH-1,N911NV,Washoe County Sheriff's Department,,USA,Manoeuvring,Accident,0.0,True,False,False,None,XV15,False,True,2,Turboprop,,[],RS,2008,0,0"
"""2008-04-03T00:00:00.000Z"",USA,New York,CESSNA 750 NO SERIES EXISTS,N750WM,WM Aviation LLC,,USA,Landing,Accident,0.0,True,True,False,None,C750,False,True,2,Jet,,""[""""SCF-NP"""",""""RE"""",""""LOC-G""""]"",RS,2008,0,0"
"""2008-04-04T00:00:00.000Z"",USA,Tuscaloosa,RAYTHEON HAWKER,N900WP,MMM Acquisitions LLC,,USA,Approach,Accident,0.0,True,True,False,None,H25C,False,True,2,Jet,,""[""""WSTRW""""]"",OTH,2008,0,0"
"""2008-04-06T00:00:00.000Z"",USA,""Belfast , Maine"",SIAI MARCHETTI,N601RH,,,USA,Manoeuvring,Accident,1.0,True,False,False,Fatal,WW23,False,True,2,Jet,,""[""""UNK""""]"",UNK,2008,1,1"
"""2008-04-07T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N4805T,Corporate American Operator,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-04-08T00:00:00.000Z"",USA,Colorado Spring,CANADAIR CL600 1A11 600,N483BA,Boeing,,USA,Take-off,Accident,0.0,True,True,False,None,CL60,False,True,2,Jet,,""[""""BIRD""""]"",RS,2008,0,0"
"""2008-04-08T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N83878,West Central Aviation LLC,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-04-09T00:00:00.000Z"",USA,,Beechcraft Corp Beech 2000 Starship,N8244L,Radio Flyer LLC (OK),,USA,Landing,Accident,0.0,True,False,False,None,STAR,False,True,2,Turboprop,,[],RS,2008,0,0"
"""2008-04-09T00:00:00.000Z"",USA,Unalaska,GRUMMAN G21,N741,,,USA,Landing,Accident,0.0,True,False,True,Serious,G159,False,True,2,Turboprop,,""[""""RI""""]"",RS,2008,1,0"
"""2008-04-10T00:00:00.000Z"",USA,Taylor,RAYTHEON HAWKER,N300FL,,,USA,Standing,Accident,1.0,True,False,False,Fatal,H25B,False,True,2,Jet,,""[""""SCF-NP"""",""""OTHR""""]"",SCF,2008,1,1"
"""2008-04-11T00:00:00.000Z"",USA,Roswell,CESSNA 310,N7935Q,,,USA,Taxi,Accident,0.0,True,False,False,None,C310,False,True,2,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-04-11T00:00:00.000Z"",USA,Kingman,NORTH AMERICAN,N9022N,,,USA,En route,Accident,0.0,True,False,False,Minor,T6,False,True,1,Piston,,""[""""SCF-PP""""]"",SCF,2008,0,0"
"""2008-04-12T00:00:00.000Z"",USA,Compton,CESSNA 310,N6231Q,,,USA,Approach,Accident,0.0,True,False,False,Serious,C310,False,True,2,Piston,,""[""""FUEL""""]"",OTH,2008,1,0"
"""2008-04-12T00:00:00.000Z"",USA,Potsdam,EMBRAER EMB110,N62CZ,AirNow,,USA,Landing,Accident,0.0,True,True,False,None,E110,False,True,2,Turboprop,,""[""""RE"""",""""ARC""""]"",RS,2008,0,0"
"""2008-04-13T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N2965R,Private US Operator,,USA,Approach,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-04-13T00:00:00.000Z"",USA,""Coleman , Texas"",WEATHERLY 620,N2035J,,,USA,Landing,Accident,0.0,True,False,False,None,W201,False,True,1,Piston,,""[""""ADRM"""",""""LOC-G""""]"",RS,2008,0,0"
"""2008-04-15T00:00:00.000Z"",USA,""White Plains , New York"",CESSNA 560 CITATION V,N613QS,NetJets,,USA,Landing,Accident,0.0,True,True,False,None,C560,False,True,2,Jet,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-04-15T00:00:00.000Z"",USA,Fort Carson,AIR TRACTOR AT602 NO SERIES EXISTS,N602AA,Aero Applicators Inc (CO),,USA,Manoeuvring,Accident,1.0,True,False,False,Fatal,AT6T,False,True,1,Turboprop,,""[""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-04-16T00:00:00.000Z"",USA,Angleton,GRUMMAN G164,N8237K,,,USA,Manoeuvring,Accident,0.0,True,False,False,Minor,G164,False,True,1,Piston,,""[""""LALT""""]"",OTH,2008,0,0"
"""2008-04-18T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-31 Navajo,N13WP,Private US Operator,,USA,Landing,Accident,0.0,True,False,False,None,PA31,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-04-18T00:00:00.000Z"",USA,Lansing,BEECH 55,N8991M,Hilgy's Aviation LLC,,USA,Landing,Accident,0.0,True,False,False,None,BE55,False,True,2,Piston,,""[""""ARC""""]"",RS,2008,0,0"
"""2008-04-19T00:00:00.000Z"",USA,Carlsbad,CESSNA 500 CITATION,N54PV,California Natural Products,,USA,Landing,Accident,0.0,True,False,False,None,C500,False,True,2,Jet,,""[""""RE""""]"",RS,2008,0,0"
"""2008-04-20T00:00:00.000Z"",USA,Paragould,AIR TRACTOR AT602 NO SERIES EXISTS,N8517M,Alaska Aviation Leasing Inc,,USA,Manoeuvring,Accident,0.0,True,False,False,Serious,AT6T,False,True,1,Turboprop,,""[""""LALT""""]"",OTH,2008,1,0"
"""2008-04-22T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N8456H,Wings of Hope Inc,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-04-24T00:00:00.000Z"",USA,Sterling,CESSNA 421,N513FS,Alpine Air,,USA,Landing,Accident,0.0,True,False,False,None,C421,False,True,2,Piston,,""[""""RE"""",""""SCF-NP""""]"",RS,2008,0,0"
"""2008-04-25T00:00:00.000Z"",USA,""Carlsbad , New Mexico"",AIR TRACTOR AT402,N402SK,,,USA,Take-off,Accident,0.0,True,False,False,None,AT3T,False,True,1,Turboprop,,""[""""LOC-I"""",""""LALT""""]"",LOC-I,2008,0,1"
"""2008-04-25T00:00:00.000Z"",USA,Baton Rouge,BEECH 90,N21SP,United States Marine Corps,,USA,Landing,Accident,0.0,True,False,False,None,U21,False,True,2,Turboprop,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-04-26T00:00:00.000Z"",USA,Galveston,TAYA,N308WK,,,USA,Landing,Accident,0.0,True,False,False,None,TAYA,False,True,1,Piston,,""[""""OTHR""""]"",OTH,2008,0,0"
"""2008-04-26T00:00:00.000Z"",USA,Galveston,CCF,N96RW,,,USA,Landing,Accident,0.0,True,False,False,None,T34P,False,True,1,Piston,,""[""""OTHR""""]"",OTH,2008,0,0"
"""2008-04-27T00:00:00.000Z"",USA,,Bell Bell 206,N526DL,Go Heli LLC,,USA,Unknown,Accident,0.0,False,False,False,None,EBOY,False,True,1,Piston,,[],RS,2008,0,0"
"""2008-04-27T00:00:00.000Z"",USA,Waitsburg,AIR TRACTOR AT502,N1519U,,,USA,Manoeuvring,Accident,0.0,True,False,False,None,AT5T,False,True,1,Turboprop,,""[""""LALT""""]"",OTH,2008,0,0"
"""2008-04-28T00:00:00.000Z"",USA,Talkeetna,DE HAVILLAND,N565TA,Talkeetna Air Taxi,,USA,Landing,Accident,0.0,True,False,False,None,DH83,False,True,1,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-04-30T00:00:00.000Z"",USA,Port Heiden,CESSNA 560 CITATION V,N590AK,AT&amp;T Alascom,,USA,Landing,Accident,0.0,True,True,False,None,C560,False,True,2,Jet,,""[""""RE"""",""""LOC-G""""]"",RS,2008,0,0"
"""2008-05-02T00:00:00.000Z"",USA,Minden,NORTH AMERICAN,N980AK,Universal Pacific Investment Corp,,USA,Taxi,Accident,0.0,True,False,False,None,YALE,False,True,1,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-05-05T00:00:00.000Z"",USA,Wolcott,NORTH AMERICAN SNJ,N12KY,,,USA,En route,Accident,0.0,True,False,False,Minor,T6,False,True,1,Piston,,""[""""FUEL""""]"",OTH,2008,0,0"
"""2008-05-05T00:00:00.000Z"",USA,""De Witt , Arkansas"",GRUMMAN G164,N6671K,,,USA,Take-off,Accident,0.0,True,False,False,None,G164,False,True,1,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-05-06T00:00:00.000Z"",USA,""Titusville , Florida"",BEECH 65,N41DZ,Fall Air Inc,,USA,Landing,Accident,0.0,True,False,False,None,BE65,False,True,2,Piston,,""[""""ARC""""]"",RS,2008,0,0"
"""2008-05-06T00:00:00.000Z"",USA,,Sikorsky Aircraft Corporation S-61,N613CK,Croman Corp,,USA,Manoeuvring,Accident,0.0,True,False,False,None,S38,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-05-08T00:00:00.000Z"",USA,Hope,ROCKWELL 680,N39BA,,,USA,Approach,Accident,0.0,True,False,False,None,SBR2,False,True,2,Jet,,""[""""SCF-PP"""",""""LOC-I""""]"",LOC-I,2008,0,1"
"""2008-05-09T00:00:00.000Z"",USA,Ada,CESSNA 208,N893FE,CSA Air,,USA,Approach,Accident,0.0,True,False,True,None,C208,False,True,1,Turboprop,,""[""""SCF-PP""""]"",SCF,2008,0,0"
"""2008-05-10T00:00:00.000Z"",USA,Juneau,DE HAVILLAND DHC2 I,N62355,,,USA,Approach,Accident,0.0,True,False,False,None,DH90,False,True,2,Piston,,""[""""BIRD""""]"",RS,2008,0,0"
"""2008-05-10T00:00:00.000Z"",USA,Holtville,C208,N8860Q,,,USA,Manoeuvring,Accident,0.0,True,False,False,Minor,C208,False,True,1,Turboprop,,""[""""SCF-PP""""]"",SCF,2008,0,0"
"""2008-05-11T00:00:00.000Z"",USA,Talkeetna,DE HAVILLAND DHC2 I,N323KT,,,USA,Landing,Accident,0.0,True,False,False,None,DH88,False,True,2,Piston,,""[""""ARC""""]"",RS,2008,0,0"
"""2008-05-12T00:00:00.000Z"",USA,Coeur d'Alene,BEECH 55,N5885C,Private US Operator,,USA,Take-off,Accident,2.0,True,False,False,Serious,BE55,False,True,2,Piston,,""[""""SCF-PP""""]"",SCF,2008,1,0"
"""2008-05-12T00:00:00.000Z"",USA,,Beechcraft Corp Beech 99,N51RP,Ameriflight,,USA,Landing,Accident,0.0,True,False,True,None,B350,False,True,2,Turboprop,,[],RS,2008,0,0"
"""2008-05-14T00:00:00.000Z"",USA,Wheatley,AIR TRACTOR AT502,N6112D,Rice Ag Service Inc,,USA,Manoeuvring,Accident,1.0,True,False,False,Fatal,AT5T,False,True,1,Turboprop,,""[""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-05-16T00:00:00.000Z"",USA,Mumford,AIR TRACTOR AT401,N15420,,,USA,Manoeuvring,Accident,0.0,True,False,False,None,AT3P,False,True,1,Piston,,""[""""SCF-PP""""]"",SCF,2008,0,0"
"""2008-05-16T00:00:00.000Z"",USA,Caldwell,CESSNA 421,N777FF,Antranig Aslanian Jr,,USA,Landing,Accident,0.0,True,False,False,None,C21T,False,True,2,Turboprop,,""[""""LOC-G"""",""""RE""""]"",RS,2008,0,0"
"""2008-05-16T00:00:00.000Z"",USA,,Fairchild-Hiller Corp FH-1100,N5049F,Larry D Boven,,USA,Approach,Accident,1.0,True,False,False,Fatal,SW3,False,True,2,Turboprop,,[],CFIT,2008,1,1"
"""2008-05-16T00:00:00.000Z"",USA,""Travis AFB , California"",BEECH 200,N246PH,PHI Air Medical,,USA,Landing,Accident,0.0,True,False,False,None,BE20,False,True,2,Turboprop,,""[""""ARC""""]"",RS,2008,0,0"
